Ratio_PSA,SMILES_PSA,Ratio_PI,SMILES_PI,Td5
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1cccc(Oc2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(c5ccc(Oc7cccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)c7)cc5)C6=O)cc4C3=O)cc2)c1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1cccc(Oc2ccc(N3C(=O)c4ccc(Oc5cccc6c5C(=O)N(c5ccc(Oc7cccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)c7)cc5)C6=O)cc4C3=O)cc2)c1,555.0
0.8,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,0.2,O=C1N(C2=CC(OC3=CC=C(N4C(C(C=CC(OC5=CC=CC(C(N6C7=CC(OC8=CC=C(N9C(C(C=CC(OC%10=CC=CC(C(N%11C%12=CC(C#C)=CC=C%12)=O)=C%10C%11=O)=C%13)=C%13C9=O)=O)C=C8)=CC=C7)=O)=C5C6=O)=C%14)=C%14C4=O)=O)C=C3)=CC=C2)C(C%15=CC=C(OC%16=CC=CC%17=C%16C(N(C%18=CC=CC(C#C)=C%18)C%17=O)=O)C=C%151)=O,589.0
1.0,C#Cc1cccc(N2COc3ccccc3C2)c1.C#Cc1cccc(N2COc3ccccc3C2)c1.CCc1ccc(C)cc1.CCc1ccc(CC)cc1.Oc1ccccc1,0.0,C#Cc1cccc(N2COc3ccccc3C2)c1.C#Cc1cccc(N2COc3ccccc3C2)c1.CCc1ccc(C)cc1.CCc1ccc(CC)cc1.Oc1ccccc1,424.3
1.0,C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc4ccccc4c3)c3ccc4ccccc4c3)cc2)c2ccccc2)cc1,0.0,C#Cc1ccc(C(=C(c2ccccc2)c2ccc(C(=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C(/c3ccc(C(=C(c4ccccc4)c4ccc(C#C)cc4)c4ccccc4)cc3)c3ccc4ccccc4c3)c3ccc4ccccc4c3)cc2)c2ccccc2)cc1,354.0
1.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)cc7C(F)(F)F)cc5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)cc1,0.0,O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(c5ccc(Oc7ccc(N8C(=O)c9ccc(C#Cc%10ccccc%10)cc9C8=O)cc7C(F)(F)F)cc5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)cc1,564.0
1.0,C#Cc1ccccc1C#C[SiH](C)C,0.0,C#Cc1ccccc1C#C[SiH](C)C,437.0
1.0,C[SiH2]C#CCc1ccccc1[SiH2]C#Cc1ccccc1,0.0,C[SiH2]C#CCc1ccccc1[SiH2]C#Cc1ccccc1,654.0
1.0,C#COCc1ccc(N2COc3ccc(C)cc3C2)cc1,0.0,C#COCc1ccc(N2COc3ccc(C)cc3C2)cc1,339.0
1.0,C#Cc1cccc(N2COc3ccc(N4C(=O)c5ccc(Oc6ccc(C(C)(C)c7ccc(Oc8ccc9c(c8)C(=O)N(c8ccc%10c(c8)CN(c8cccc(C#C)c8)CO%10)C9=O)cc7)cc6)cc5C4=O)cc3C2)c1,0.0,C#Cc1cccc(N2COc3ccc(N4C(=O)c5ccc(Oc6ccc(C(C)(C)c7ccc(Oc8ccc9c(c8)C(=O)N(c8ccc%10c(c8)CN(c8cccc(C#C)c8)CO%10)C9=O)cc7)cc6)cc5C4=O)cc3C2)c1,393.0
0.0,C#Cc1cccc(C#C[Si](C)(C#Cc2cccc(C#C)c2)C=C)c1,1.0,C#CC1=CC=CC(N2C(C(C=CC(OC3=CC=CC(C(N4C5=CC(OC6=CC(OC7=CC(N8C(C(C(OC9=CC=C(C(N(C%10=CC=CC(C#C)=C%10)C%11=O)=O)C%11=C9)=CC=C%12)=C%12C8=O)=O)=CC=C7)=CC=C6)=CC=C5)=O)=C3C4=O)=C%13)=C%13C2=O)=O)=C1,520.3
